alignment_scope,model,status,status_counts.success,successful_predictions,accuracy,macro_f1,misaligned_sensitive_precision,misaligned_sensitive_recall,misaligned_sensitive_f1,leakage_rate,false_block_rate,confusion.aligned_sensitive.aligned_sensitive,confusion.aligned_sensitive.misaligned_sensitive,confusion.aligned_sensitive.non_sensitive,confusion.misaligned_sensitive.aligned_sensitive,confusion.misaligned_sensitive.misaligned_sensitive,confusion.misaligned_sensitive.non_sensitive,status_counts.failed,status_counts.unsupported
coarse_policy_alignment,centroid_query_similarity,scored,80,80,0.6125,0.7181818181818181,0.875,0.7368421052631579,0.7999999999999999,0.2631578947368421,0.09523809523809523,21,4,17,3,28,7,,
coarse_policy_alignment,capid,scored,70,70,0.7285714285714285,0.7386363636363636,0.675,0.84375,0.75,0.15625,0.34210526315789475,24,13,1,4,27,1,10,
coarse_policy_alignment,openai_privacy_filter_plus_granite_guardian,scored,80,80,0.15,0.2065891472868217,0.5,0.2894736842105263,0.3666666666666667,0.7105263157894737,0.2619047619047619,1,11,30,0,11,27,,
coarse_policy_alignment,granite_guardian_oracle_evidence,scored,80,80,0.475,0.3220338983050847,0.475,1.0,0.6440677966101694,0.0,1.0,0,42,0,0,38,0,,
coarse_policy_alignment,pii_only,not_scored,,0,,,,,,,,,,,,,,,80
fine_grained_semantic_alignment,centroid_query_similarity,scored,47,47,0.7021276595744681,0.7183600713012477,1.0,0.7368421052631579,0.8484848484848484,0.2631578947368421,0.0,5,0,4,3,28,7,,
fine_grained_semantic_alignment,capid,scored,41,41,0.8292682926829268,0.7926229508196723,0.9310344827586207,0.84375,0.8852459016393444,0.15625,0.2222222222222222,7,2,0,4,27,1,6,
fine_grained_semantic_alignment,openai_privacy_filter_plus_granite_guardian,scored,47,47,0.23404255319148937,0.2115384615384615,0.7857142857142857,0.2894736842105263,0.423076923076923,0.7105263157894737,0.3333333333333333,0,3,6,0,11,27,,
fine_grained_semantic_alignment,granite_guardian_oracle_evidence,scored,47,47,0.8085106382978723,0.44705882352941173,0.8085106382978723,1.0,0.8941176470588235,0.0,1.0,0,9,0,0,38,0,,
fine_grained_semantic_alignment,pii_only,not_scored,,0,,,,,,,,,,,,,,,47
